Name,Low IP,High IP,Malware Type,Confidence,Severity,ASN,Org,Country,Description,Last Seen
1.234.21.73,1.234.21.73,1.234.21.73,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
103.109.247.13,103.109.247.13,103.109.247.13,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
103.109.247.8,103.109.247.8,103.109.247.8,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
103.109.247.9,103.109.247.9,103.109.247.9,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
103.127.67.38,103.127.67.38,103.127.67.38,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
103.140.207.110,103.140.207.110,103.140.207.110,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
103.142.10.177,103.142.10.177,103.142.10.177,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
103.164.180.66,103.164.180.66,103.164.180.66,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
103.233.25.228,103.233.25.228,103.233.25.228,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
103.238.203.82,103.238.203.82,103.238.203.82,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
103.253.107.153,103.253.107.153,103.253.107.153,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
103.253.107.155,103.253.107.155,103.253.107.155,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
103.253.107.156,103.253.107.156,103.253.107.156,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
103.253.107.198,103.253.107.198,103.253.107.198,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
103.30.247.116,103.30.247.116,103.30.247.116,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
103.40.116.68,103.40.116.68,103.40.116.68,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
103.52.135.61,103.52.135.61,103.52.135.61,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
103.58.102.177,103.58.102.177,103.58.102.177,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
103.73.102.174,103.73.102.174,103.73.102.174,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
103.75.32.173,103.75.32.173,103.75.32.173,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
103.82.248.59,103.82.248.59,103.82.248.59,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
103.87.173.60,103.87.173.60,103.87.173.60,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
103.94.0.178,103.94.0.178,103.94.0.178,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
104.248.178.90,104.248.178.90,104.248.178.90,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
105.198.236.99,105.198.236.99,105.198.236.99,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
107.170.64.97,107.170.64.97,107.170.64.97,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
108.55.14.158,108.55.14.158,108.55.14.158,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
111.230.104.169,111.230.104.169,111.230.104.169,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
111.235.66.83,111.235.66.83,111.235.66.83,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
114.79.130.68,114.79.130.68,114.79.130.68,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
115.99.227.13,115.99.227.13,115.99.227.13,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
116.203.55.59,116.203.55.59,116.203.55.59,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
116.206.153.212,116.206.153.212,116.206.153.212,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
117.248.109.38,117.248.109.38,117.248.109.38,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
118.91.190.42,118.91.190.42,118.91.190.42,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
120.150.218.241,120.150.218.241,120.150.218.241,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
121.199.35.69,121.199.35.69,121.199.35.69,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
122.117.90.133,122.117.90.133,122.117.90.133,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
123.252.190.14,123.252.190.14,123.252.190.14,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
124.41.211.17,124.41.211.17,124.41.211.17,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
125.234.128.250,125.234.128.250,125.234.128.250,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
128.199.192.135,128.199.192.135,128.199.192.135,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
128.199.206.91,128.199.206.91,128.199.206.91,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
128.199.232.159,128.199.232.159,128.199.232.159,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
128.201.76.252,128.201.76.252,128.201.76.252,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
131.100.24.199,131.100.24.199,131.100.24.199,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
134.209.182.12,134.209.182.12,134.209.182.12,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
136.144.131.189,136.144.131.189,136.144.131.189,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
136.228.128.21,136.228.128.21,136.228.128.21,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
136.232.34.70,136.232.34.70,136.232.34.70,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
137.74.112.43,137.74.112.43,137.74.112.43,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
138.121.91.136,138.121.91.136,138.121.91.136,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
138.197.109.175,138.197.109.175,138.197.109.175,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
139.255.199.196,139.255.199.196,139.255.199.196,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
139.59.59.242,139.59.59.242,139.59.59.242,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
142.4.219.173,142.4.219.173,142.4.219.173,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
142.44.247.57,142.44.247.57,142.44.247.57,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
143.244.140.214,143.244.140.214,143.244.140.214,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
144.139.47.206,144.139.47.206,144.139.47.206,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
144.76.1.150,144.76.1.150,144.76.1.150,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
144.76.42.74,144.76.42.74,144.76.42.74,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
148.235.154.164,148.235.154.164,148.235.154.164,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
148.251.238.52,148.251.238.52,148.251.238.52,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
149.202.179.100,149.202.179.100,149.202.179.100,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
153.126.165.175,153.126.165.175,153.126.165.175,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
155.138.203.91,155.138.203.91,155.138.203.91,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
157.245.222.44,157.245.222.44,157.245.222.44,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
158.69.118.130,158.69.118.130,158.69.118.130,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
159.224.167.102,159.224.167.102,159.224.167.102,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
159.65.3.147,159.65.3.147,159.65.3.147,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
162.214.106.107,162.214.106.107,162.214.106.107,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
162.214.127.16,162.214.127.16,162.214.127.16,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
162.214.188.105,162.214.188.105,162.214.188.105,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
167.172.119.42,167.172.119.42,167.172.119.42,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
170.238.117.187,170.238.117.187,170.238.117.187,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
173.21.10.71,173.21.10.71,173.21.10.71,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
176.100.4.31,176.100.4.31,176.100.4.31,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
176.28.17.160,176.28.17.160,176.28.17.160,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
177.75.5.222,177.75.5.222,177.75.5.222,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
177.87.0.7,177.87.0.7,177.87.0.7,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
178.128.197.110,178.128.197.110,178.128.197.110,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
