Name,Low IP,High IP,Malware Type,Confidence,Severity,ASN,Org,Country,Description,Last Seen
1.234.21.73,1.234.21.73,1.234.21.73,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
100.1.119.41,100.1.119.41,100.1.119.41,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
103.109.247.13,103.109.247.13,103.109.247.13,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
103.109.247.8,103.109.247.8,103.109.247.8,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
103.109.247.9,103.109.247.9,103.109.247.9,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
103.113.105.126,103.113.105.126,103.113.105.126,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
103.116.178.85,103.116.178.85,103.116.178.85,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
103.127.67.38,103.127.67.38,103.127.67.38,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
103.140.207.110,103.140.207.110,103.140.207.110,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
103.142.10.177,103.142.10.177,103.142.10.177,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
103.143.8.71,103.143.8.71,103.143.8.71,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
103.146.232.154,103.146.232.154,103.146.232.154,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
103.148.120.144,103.148.120.144,103.148.120.144,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
103.150.40.76,103.150.40.76,103.150.40.76,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
103.157.122.198,103.157.122.198,103.157.122.198,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
103.164.180.66,103.164.180.66,103.164.180.66,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
103.233.25.228,103.233.25.228,103.233.25.228,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
103.238.203.82,103.238.203.82,103.238.203.82,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
103.248.217.234,103.248.217.234,103.248.217.234,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
103.253.107.153,103.253.107.153,103.253.107.153,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
103.253.107.155,103.253.107.155,103.253.107.155,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
103.253.107.156,103.253.107.156,103.253.107.156,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
103.253.107.198,103.253.107.198,103.253.107.198,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
103.30.247.115,103.30.247.115,103.30.247.115,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
103.30.247.116,103.30.247.116,103.30.247.116,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
103.40.116.68,103.40.116.68,103.40.116.68,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
103.47.170.130,103.47.170.130,103.47.170.130,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
103.47.170.131,103.47.170.131,103.47.170.131,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
103.52.135.61,103.52.135.61,103.52.135.61,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
103.58.102.177,103.58.102.177,103.58.102.177,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
103.73.102.174,103.73.102.174,103.73.102.174,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
103.75.32.173,103.75.32.173,103.75.32.173,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
103.75.32.38,103.75.32.38,103.75.32.38,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
103.82.211.39,103.82.211.39,103.82.211.39,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
103.82.248.59,103.82.248.59,103.82.248.59,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
103.87.173.60,103.87.173.60,103.87.173.60,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
103.94.0.178,103.94.0.178,103.94.0.178,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
104.245.52.73,104.245.52.73,104.245.52.73,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
104.248.178.90,104.248.178.90,104.248.178.90,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
105.198.236.99,105.198.236.99,105.198.236.99,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
107.170.64.97,107.170.64.97,107.170.64.97,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
108.4.67.252,108.4.67.252,108.4.67.252,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
108.55.14.158,108.55.14.158,108.55.14.158,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
109.12.111.14,109.12.111.14,109.12.111.14,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
109.228.255.59,109.228.255.59,109.228.255.59,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
110.174.64.179,110.174.64.179,110.174.64.179,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
111.230.104.169,111.230.104.169,111.230.104.169,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
111.235.66.83,111.235.66.83,111.235.66.83,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
111.250.36.194,111.250.36.194,111.250.36.194,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
114.79.130.68,114.79.130.68,114.79.130.68,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
115.96.53.68,115.96.53.68,115.96.53.68,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
115.96.62.113,115.96.62.113,115.96.62.113,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
115.96.64.9,115.96.64.9,115.96.64.9,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
115.99.227.13,115.99.227.13,115.99.227.13,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
116.203.55.59,116.203.55.59,116.203.55.59,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
116.206.153.212,116.206.153.212,116.206.153.212,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
117.222.57.92,117.222.57.92,117.222.57.92,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
117.222.61.115,117.222.61.115,117.222.61.115,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
117.248.109.38,117.248.109.38,117.248.109.38,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
118.91.190.42,118.91.190.42,118.91.190.42,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
